site_id,site_name,state,operator,scenario_id,scenario_name,scenario_type,comparison_anchor,calculation_allowed,analysis_unit,operational_status,parameter,central_value,units,source_reported_value,source_reported_units,evidence_class,source,source_year,source_locator,temporal_basis,water_source,geographic_boundary,capacity_type,boundary_match,source_status,low_value,high_value,range_basis,rank_admissibility,notes
mayes_county_ok,Mayes County,OK,Google,mayes_fy2024_nominal_k_default_pf,FY2024 campus against current 50 MGD nominal K with assumed PF,conditional_nominal_capacity_scenario,yes,yes,campus,operating FY2024,W_avg,3.028142076502732,MGD,1108.3,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,Mayes County campus,not applicable,conditional,verified_local,,,,conditional_scenario,FY2024 leap-year conversion.
mayes_county_ok,Mayes County,OK,Google,mayes_fy2024_nominal_k_default_pf,FY2024 campus against current 50 MGD nominal K with assumed PF,conditional_nominal_capacity_scenario,yes,yes,campus,operating FY2024,C_avg,2.276502732240437,MGD,833.2,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,Mayes County campus,not applicable,conditional,verified_local,,,,conditional_scenario,Same campus and year as withdrawal.
mayes_county_ok,Mayes County,OK,Google,mayes_fy2024_nominal_k_default_pf,FY2024 campus against current 50 MGD nominal K with assumed PF,conditional_nominal_capacity_scenario,yes,yes,campus,operating FY2024,PF_shared,2.5,dimensionless,2.5,dimensionless,A,Author-assumed warm-climate default,2026,WCI input documentation,author-selected planning scenario,unknown,not site specific,not applicable,conditional,author_assumption,,,,conditional_scenario,Not an observed Mayes County PF.
mayes_county_ok,Mayes County,OK,Google,mayes_fy2024_nominal_k_default_pf,FY2024 campus against current 50 MGD nominal K with assumed PF,conditional_nominal_capacity_scenario,yes,yes,campus,operating FY2024,K,50,MGD,50,MGD,M,MidAmerica Industrial Park infrastructure page,2026,50 MGD total capacity; accessed 13 August 2026,current total nominal capacity,Grand Neosho River potable supply,park system serving Google and other users,park-owned potable-system nominal capacity,conditional,authoritative_current,,,,conditional_scenario,The 32 MGD available-capacity value is not substituted into this nominal-capacity convention.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_reliable_supply_k,FY2024 campus against current 8.7 MGD reliable peak-season system supply,current_reliable_supply_capacity,yes,yes,campus,operating FY2024,W_avg,1.259836065573771,MGD,461.1,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,The Dalles campus,not applicable,conditional,verified_local,,,,conditional_scenario,FY2024 leap-year conversion; campus contains two facilities.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_reliable_supply_k,FY2024 campus against current 8.7 MGD reliable peak-season system supply,current_reliable_supply_capacity,yes,yes,campus,operating FY2024,C_avg,0.987431693989071,MGD,361.4,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,The Dalles campus,not applicable,conditional,verified_local,,,,conditional_scenario,Same campus and year as withdrawal.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_reliable_supply_k,FY2024 campus against current 8.7 MGD reliable peak-season system supply,current_reliable_supply_capacity,yes,yes,campus,operating FY2024,PF_shared,2.21,dimensionless,2.21,dimensionless,R,Consor Water System Master Plan Update cited in first submission and Han et al.,2024,Zone 310,pressure-zone peaking factor,unknown,pressure zone containing campus,not applicable,conditional,cited_not_locally_verified,,,,conditional_scenario,Pressure-zone PF proxy retained as R; not a directly isolated facility peaking factor.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_reliable_supply_k,FY2024 campus against current 8.7 MGD reliable peak-season system supply,current_reliable_supply_capacity,yes,yes,campus,operating FY2024,K,8.7,MGD,8.7,MGD,M,City of The Dalles 2025 Water Management and Conservation Plan,2025,"Section 5.4, p. 107 of City Council agenda compilation: total current reliable peak-season supply 13.4 cfs (8.7 MGD)",current reliable peak-season supply,municipal surface water and groundwater,City of The Dalles water system,current reliable peak-season system supply,conditional,authoritative_current,,,,conditional_scenario,Directly reported current reliable system supply considering operational constraints; not available headroom.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_historical_k_proxy,FY2024 campus against historical 2006 reliable K,historical_denominator_scenario,no,yes,campus,operating FY2024,W_avg,1.259836065573771,MGD,461.1,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,The Dalles campus,not applicable,temporal_mismatch,verified_local,,,,within_site_scenario_only,Current numerator with explicitly historical denominator.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_historical_k_proxy,FY2024 campus against historical 2006 reliable K,historical_denominator_scenario,no,yes,campus,operating FY2024,C_avg,0.987431693989071,MGD,361.4,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,The Dalles campus,not applicable,temporal_mismatch,verified_local,,,,within_site_scenario_only,Same campus and year as withdrawal.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_historical_k_proxy,FY2024 campus against historical 2006 reliable K,historical_denominator_scenario,no,yes,campus,operating FY2024,PF_shared,2.21,dimensionless,2.21,dimensionless,R,Consor Water System Master Plan Update cited in first submission and Han et al.,2024,Zone 310,pressure-zone peaking factor,unknown,pressure zone containing campus,not applicable,temporal_mismatch,cited_not_locally_verified,,,,within_site_scenario_only,Zone proxy.
the_dalles_or,The Dalles,OR,Google,the_dalles_fy2024_historical_k_proxy,FY2024 campus against historical 2006 reliable K,historical_denominator_scenario,no,yes,campus,operating FY2024,K,4.5,MGD,3.4 + 1.1,MGD,M,City of The Dalles 2006 Water System Master Plan,2006,3.4 MGD Wicks WTP plus 1.1 MGD reliable groundwater,historical reliable supply,municipal surface water and groundwater,City of The Dalles system,historical reliable supply,temporal_mismatch,authoritative_historical,,,,within_site_scenario_only,Not a verified current 2026 capacity.
douglas_county_ga,Douglas County,GA,Google,douglas_combined_boundary_indeterminate,FY2024 combined campus water with no matched combined K,boundary_indeterminate,no,no,campus,operating FY2024,W_avg,1.213387978142077,MGD,444.1,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,7.4 Mgal potable plus 436.7 Mgal reclaimed,Douglas County campus,not applicable,fail,verified_local,,,,not_admissible,Combined withdrawal mixes water pathways.
douglas_county_ga,Douglas County,GA,Google,douglas_combined_boundary_indeterminate,FY2024 combined campus water with no matched combined K,boundary_indeterminate,no,no,campus,operating FY2024,C_avg,1.002459016393443,MGD,366.9,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,"mixed, not allocated by source",Douglas County campus,not applicable,fail,verified_local,,,,not_admissible,Source-specific consumption is unavailable.
douglas_county_ga,Douglas County,GA,Google,douglas_combined_boundary_indeterminate,FY2024 combined campus water with no matched combined K,boundary_indeterminate,no,no,campus,operating FY2024,PF_shared,2.5,dimensionless,2.5,dimensionless,A,Author-assumed warm-climate default,2026,WCI input documentation,author-selected planning scenario,unknown,not site specific,not applicable,fail,author_assumption,,,,not_admissible,No site-specific peak evidence.
douglas_county_ga,Douglas County,GA,Google,douglas_combined_boundary_indeterminate,FY2024 combined campus water with no matched combined K,boundary_indeterminate,no,no,campus,operating FY2024,K,,MGD,,MGD,U,DDCWSA FY2024 record separates reclaimed and potable capacities,2024,no verified combined denominator,unresolved combined capacity,mixed,multiple utility subsystems,unresolved combined capacity,fail,unresolved,,,,not_admissible,Combined-campus WCI/PDLR remain NA; primary comparison is the matched reclaimed-water pathway.
douglas_county_ga,Douglas County,GA,Google,douglas_reclaimed_subsystem_wci_pdlr,FY2024 reclaimed-water pathway against 3 MGD reclaimed subsystem K,reclaimed_pathway_primary_scenario,yes,yes,campus reclaimed stream,operating FY2024,W_avg,1.193169398907104,MGD,436.7,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,reclaimed,Douglas County campus reclaimed stream,not applicable,conditional,verified_local,,,,conditional_scenario,Reclaimed withdrawal is source specific.
douglas_county_ga,Douglas County,GA,Google,douglas_reclaimed_subsystem_wci_pdlr,FY2024 reclaimed-water pathway against 3 MGD reclaimed subsystem K,reclaimed_pathway_primary_scenario,yes,yes,campus reclaimed stream,operating FY2024,r_avg,0.8261652780905201,dimensionless,366.9 / 444.1,dimensionless,T,Google 2025 Environmental Report,2025,page 110; FY2024 Douglas County total consumption divided by total withdrawal,FY2024 campus-wide ratio transferred within the same campus to the reclaimed stream,campus-wide mixed ratio used as within-campus proxy for reclaimed stream,Douglas County campus; transferred to reclaimed pathway,not applicable,conditional,verified_local_proxy,,,,conditional_scenario,Within-campus proxy: reclaimed withdrawal is 436.7 of 444.1 Mgal (98.3%); source-specific reclaimed consumption is not separately reported.
douglas_county_ga,Douglas County,GA,Google,douglas_reclaimed_subsystem_wci_pdlr,FY2024 reclaimed-water pathway against 3 MGD reclaimed subsystem K,reclaimed_pathway_primary_scenario,yes,yes,campus reclaimed stream,operating FY2024,PF_shared,2.5,dimensionless,2.5,dimensionless,A,Author-assumed warm-climate default,2026,WCI input documentation,author-selected planning scenario,reclaimed,not site specific,not applicable,conditional,author_assumption,,,,conditional_scenario,Author-assumed warm-climate PF retained as A; not a measured site PF.
douglas_county_ga,Douglas County,GA,Google,douglas_reclaimed_subsystem_wci_pdlr,FY2024 reclaimed-water pathway against 3 MGD reclaimed subsystem K,reclaimed_pathway_primary_scenario,yes,yes,campus reclaimed stream,operating FY2024,K,3,MGD,3,MGD,M,DDCWSA FY2024 Annual Comprehensive Financial Report,2024,3.0 MGD side-stream reclaimed facility serving a large data-processing center,current reclaimed-subsystem nominal capacity,reclaimed effluent,Sweetwater Creek reclaimed subsystem,reclaimed-subsystem nominal capacity,conditional,authoritative_current,,,,conditional_scenario,Reported 3.0 MGD side-stream reclaimed facility serving the data-processing center; used only with the reclaimed-water numerator.
wisconsin_mount_pleasant_wi,Wisconsin site,WI,Microsoft,wisconsin_40_mgd_2021_context,Planned peak against 40 MGD Racine system capacity in 2021 context,conditional_historical_context_scenario,yes,yes,planned facility or campus,planned or ramping,W_avg,0.023013698630137,MGD,8.4,Mgal per year,R,Wisconsin Public Radio reporting summarized in retained evidence,2025,annual planned water envelope,annual planned envelope divided by 365 days,unknown,Mount Pleasant or Racine development,not applicable,conditional,secondary_source,,,,conditional_confirmation_pending,Not a long operational time series.
wisconsin_mount_pleasant_wi,Wisconsin site,WI,Microsoft,wisconsin_40_mgd_2021_context,Planned peak against 40 MGD Racine system capacity in 2021 context,conditional_historical_context_scenario,yes,yes,planned facility or campus,planned or ramping,W_peak,0.702,MGD,702000,gallons per day,P,Wisconsin Public Radio reporting summarized in retained evidence,2025,planned cooling peak,planned peak-day or design-day withdrawal,unknown,Mount Pleasant or Racine development,planned peak delivery,conditional,secondary_source,,,,conditional_confirmation_pending,"Peak is planned, not measured."
wisconsin_mount_pleasant_wi,Wisconsin site,WI,Microsoft,wisconsin_40_mgd_2021_context,Planned peak against 40 MGD Racine system capacity in 2021 context,conditional_historical_context_scenario,yes,yes,planned facility or campus,planned or ramping,r_peak,0.77,dimensionless,0.77,dimensionless,T,"Han et al., Small Bottle, Big Pipe",2026,Appendix A.5,fleet aggregate transferred to planned peak,unknown,hyperscale operator fleet,not applicable,conditional,verified_local,,,,conditional_confirmation_pending,Not Microsoft Mount Pleasant specific.
wisconsin_mount_pleasant_wi,Wisconsin site,WI,Microsoft,wisconsin_40_mgd_2021_context,Planned peak against 40 MGD Racine system capacity in 2021 context,conditional_historical_context_scenario,yes,yes,planned facility or campus,planned or ramping,K,40,MGD,40,MGD,M,City of Racine Water Utility Director brochure,2021,40 MGD filtration plant; directly serves Mount Pleasant,system nominal capacity in 2021 context,Lake Michigan potable water,Racine Water Utility system,system-wide nominal filtration capacity,conditional,official_2021_context,,,,conditional_confirmation_pending,Current utility confirmation and parcel or service-boundary check remain pending.
botetourt_county_va,Botetourt County,VA,Google,botetourt_peak_reservation_24_mgd_k,2 MGD maximum reservation against 24 MGD Carvins Cove WTP,permitted_peak_reservation_scenario,yes,yes,development reservation,planned or ramping,W_peak,2,MGD,2,MGD,P,Western Virginia Water Authority project page and funding agreement,2026,no more than 2 MGD,reserved maximum; actual use seasonal and lower,potable,Botetourt development reservation,site allocation or peak service envelope,conditional,authoritative_current,,,,scenario_only,Already a maximum; no extra PF is applied.
botetourt_county_va,Botetourt County,VA,Google,botetourt_peak_reservation_24_mgd_k,2 MGD maximum reservation against 24 MGD Carvins Cove WTP,permitted_peak_reservation_scenario,yes,yes,development reservation,planned or ramping,r_peak,0.77,dimensionless,0.77,dimensionless,T,"Han et al., Small Bottle, Big Pipe",2026,Appendix A.5,fleet aggregate transferred to planned peak,unknown,hyperscale operator fleet,not applicable,conditional,verified_local,,,,scenario_only,Constant r at peak is an explicit scenario assumption.
botetourt_county_va,Botetourt County,VA,Google,botetourt_peak_reservation_24_mgd_k,2 MGD maximum reservation against 24 MGD Carvins Cove WTP,permitted_peak_reservation_scenario,yes,yes,development reservation,planned or ramping,K,24,MGD,24,MGD,M,Western Virginia Water Authority current project page and FAQ,2026,Carvins Cove WTP treatment capacity,current serving-plant nominal capacity,potable,Carvins Cove WTP,serving-plant nominal capacity,conditional,authoritative_current,,,,scenario_only,Current production and headroom are distinct from this nominal capacity.
memphis_tn,Memphis,TN,xAI,memphis_peak_system_258,1 MGD service maximum against 258 MGD MLGW system K,whole_system_denominator_scenario,no,yes,facility,operating or ramping,W_peak,1,MGD,1,MGD,P,MLGW September-October 2024 community update,2024,up to 1 MGD through existing main,"service maximum, not measured average",groundwater potable,Paul Lowry or Pidgeon site,site service maximum,system,authoritative_current,,,,within_site_scenario_only,No additional PF is applied.
memphis_tn,Memphis,TN,xAI,memphis_peak_system_258,1 MGD service maximum against 258 MGD MLGW system K,whole_system_denominator_scenario,no,yes,facility,operating or ramping,r_peak,0.77,dimensionless,0.77,dimensionless,T,"Han et al., Small Bottle, Big Pipe",2026,Appendix A.5,fleet aggregate transferred to peak scenario,unknown,hyperscale operator fleet,not applicable,system,verified_local,,,,within_site_scenario_only,Not xAI or Memphis specific.
memphis_tn,Memphis,TN,xAI,memphis_peak_system_258,1 MGD service maximum against 258 MGD MLGW system K,whole_system_denominator_scenario,no,yes,facility,operating or ramping,K,258,MGD,258,MGD,M,MLGW 2022 Drought Management Plan,2022,ten plants combined treatment capability,whole-system nominal capacity,groundwater potable,MLGW system,whole-system nominal treatment capacity,system,authoritative_primary,,,,within_site_scenario_only,Broad denominator; not local headroom.
memphis_tn,Memphis,TN,xAI,memphis_peak_serving_plant_30,1 MGD service maximum against 30 MGD Davis WTP K,serving_plant_denominator_scenario,yes,yes,facility,operating or ramping,W_peak,1,MGD,1,MGD,P,MLGW September-October 2024 community update,2024,up to 1 MGD through existing main,"service maximum, not measured average",groundwater potable,Paul Lowry or Pidgeon site,site service maximum,conditional,authoritative_current,,,,scenario_only,No additional PF is applied.
memphis_tn,Memphis,TN,xAI,memphis_peak_serving_plant_30,1 MGD service maximum against 30 MGD Davis WTP K,serving_plant_denominator_scenario,yes,yes,facility,operating or ramping,r_peak,0.77,dimensionless,0.77,dimensionless,T,"Han et al., Small Bottle, Big Pipe",2026,Appendix A.5,fleet aggregate transferred to peak scenario,unknown,hyperscale operator fleet,not applicable,conditional,verified_local,,,,scenario_only,Not xAI or Memphis specific.
memphis_tn,Memphis,TN,xAI,memphis_peak_serving_plant_30,1 MGD service maximum against 30 MGD Davis WTP K,serving_plant_denominator_scenario,yes,yes,facility,operating or ramping,K,30,MGD,30,MGD,M,MLGW 2022 Drought Management Plan,2022,Davis WTP serving Pidgeon Industrial Park,serving-plant nominal capacity,groundwater potable,Davis WTP,serving-plant nominal treatment capacity,conditional,authoritative_primary,,,,scenario_only,Better bounded than the whole-system scenario; still not available headroom.
midlothian_tx,Midlothian,TX,Google,midlothian_fy2024_nominal_k_default_pf,FY2024 campus against 36 MGD nominal K with assumed PF,conditional_nominal_capacity_scenario,yes,yes,campus,operating FY2024,W_avg,0.603825136612022,MGD,221.0,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,Midlothian campus,not applicable,conditional,verified_local,,,,conditional_scenario,FY2024 leap-year conversion.
midlothian_tx,Midlothian,TX,Google,midlothian_fy2024_nominal_k_default_pf,FY2024 campus against 36 MGD nominal K with assumed PF,conditional_nominal_capacity_scenario,yes,yes,campus,operating FY2024,C_avg,0.498087431693989,MGD,182.3,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,Midlothian campus,not applicable,conditional,verified_local,,,,conditional_scenario,Same campus and year as withdrawal.
midlothian_tx,Midlothian,TX,Google,midlothian_fy2024_nominal_k_default_pf,FY2024 campus against 36 MGD nominal K with assumed PF,conditional_nominal_capacity_scenario,yes,yes,campus,operating FY2024,PF_shared,2.5,dimensionless,2.5,dimensionless,A,Author-assumed warm-climate default,2026,WCI input documentation,author-selected planning scenario,unknown,not site specific,not applicable,conditional,author_assumption,,,,conditional_scenario,Not an observed Midlothian PF.
midlothian_tx,Midlothian,TX,Google,midlothian_fy2024_nominal_k_default_pf,FY2024 campus against 36 MGD nominal K with assumed PF,conditional_nominal_capacity_scenario,yes,yes,campus,operating FY2024,K,36,MGD,36,MGD,M,City of Midlothian Water Treatment Plants page,2026,12 MGD Tayman plus 24 MGD Auger after 2024 expansion,current city-system nominal capacity,surface water,City of Midlothian system,combined nominal treatment capacity,conditional,authoritative_current,,,,conditional_scenario,Direct service to the Google campus remains a final confirmation item.
henderson_nv,Henderson,NV,Google,henderson_fy2024_regional_gross_capacity,FY2024 campus against 900 MGD SNWA regional gross capacity,regional_denominator_scenario,yes,yes,campus,operating FY2024,W_avg,0.983333333333333,MGD,359.9,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,Henderson campus,not applicable,regional,verified_local,,,,regional_scenario_only,FY2024 leap-year conversion.
henderson_nv,Henderson,NV,Google,henderson_fy2024_regional_gross_capacity,FY2024 campus against 900 MGD SNWA regional gross capacity,regional_denominator_scenario,yes,yes,campus,operating FY2024,C_avg,0.566666666666667,MGD,207.4,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,Henderson campus,not applicable,regional,verified_local,,,,regional_scenario_only,No inference is made about discharge reuse.
henderson_nv,Henderson,NV,Google,henderson_fy2024_regional_gross_capacity,FY2024 campus against 900 MGD SNWA regional gross capacity,regional_denominator_scenario,yes,yes,campus,operating FY2024,PF_shared,2.5,dimensionless,2.5,dimensionless,A,Author-assumed warm-climate default,2026,WCI input documentation,author-selected planning scenario,unknown,not site specific,not applicable,regional,author_assumption,,,,regional_scenario_only,No Henderson site PF evidence.
henderson_nv,Henderson,NV,Google,henderson_fy2024_regional_gross_capacity,FY2024 campus against 900 MGD SNWA regional gross capacity,regional_denominator_scenario,yes,yes,campus,operating FY2024,K,900,MGD,600 + 300,MGD,M,Southern Nevada Water Authority regional water-system records,2024-2026,600 MGD Alfred Merritt Smith plus 300 MGD River Mountains,regional gross treatment and conveyance capacity,Colorado River or Lake Mead surface water,SNWA regional system,regional gross capacity,regional,authoritative_current,,,,regional_scenario_only,"Not Henderson distribution capacity, allocation, headroom, or hydrologic scarcity."
